1ms,6_nodes_loc_e_rem,199,67,2,29,8,5,0.258
2ms,6_nodes_loc_e_rem,193,45,3,32,12,18,0.253
3ms,6_nodes_loc_e_rem,197,44,3,49,4,3,0.250
4ms,6_nodes_loc_e_rem,158,74,16,60,20,17,0.287
5ms,6_nodes_loc_e_rem,157,104,32,60,12,33,0.332
10ms,6_nodes_loc_e_rem,189,159,81,108,71,81,0.574
15ms,6_nodes_loc_e_rem,200,172,111,154,116,127,0.733
20ms,6_nodes_loc_e_rem,199,180,140,150,57,147,0.728
25ms,6_nodes_loc_e_rem,199,183,151,174,114,134,0.796
30ms,6_nodes_loc_e_rem,200,192,161,134,88,164,0.782
35ms,6_nodes_loc_e_rem,199,190,169,164,159,169,0.875
40ms,6_nodes_loc_e_rem,199,196,150,187,147,165,0.870
50ms,6_nodes_loc_e_rem,200,193,153,180,160,175,0.801
60ms,6_nodes_loc_e_rem,200,194,129,182,157,184,0.872
70ms,6_nodes_loc_e_rem,199,195,110,183,159,184,0.858
80ms,6_nodes_loc_e_rem,200,200,119,180,159,182,0.833
90ms,6_nodes_loc_e_rem,200,200,186,176,175,186,0.936
100ms,6_nodes_loc_e_rem,199,199,171,172,163,186,0.908
150ms,6_nodes_loc_e_rem,200,200,185,194,148,194,0.934
200ms,6_nodes_loc_e_rem,200,200,184,183,175,194,0.947
500ms,6_nodes_loc_e_rem,200,198,184,171,94,197,0.870
