1ms,4_nodes_rem,2,82,1,29,0.285
2ms,4_nodes_rem,32,94,5,4,0.338
3ms,4_nodes_rem,5,88,1,1,0.237
4ms,4_nodes_rem,29,88,20,25,0.405
5ms,4_nodes_rem,38,95,17,42,0.480
10ms,4_nodes_rem,62,97,54,66,0.698
15ms,4_nodes_rem,72,100,57,85,0.785
20ms,4_nodes_rem,81,98,88,83,0.875
25ms,4_nodes_rem,92,100,73,85,0.875
30ms,4_nodes_rem,72,100,91,91,0.885
35ms,4_nodes_rem,87,100,73,87,0.868
40ms,4_nodes_rem,82,99,69,92,0.855
45ms,4_nodes_rem,89,100,78,93,0.900
50ms,4_nodes_rem,93,100,84,96,0.932
55ms,4_nodes_rem,85,100,84,94,0.907
60ms,4_nodes_rem,87,100,84,96,0.917
70ms,4_nodes_rem,91,100,90,95,0.940
80ms,4_nodes_rem,81,100,84,98,0.907
90ms,4_nodes_rem,83,100,92,96,0.927
100ms,4_nodes_rem,88,100,95,98,0.953
150ms,4_nodes_rem,91,100,68,100,0.897
200ms,4_nodes_rem,96,100,99,100,0.988
500ms,4_nodes_rem,98,100,70,100,0.920
