1ms,4_nodes_rf_loc,2,17,11,6,7,13,0.093
2ms,4_nodes_rf_loc,12,28,30,27,31,11,0.232
3ms,4_nodes_rf_loc,6,13,22,25,24,45,0.225
4ms,4_nodes_rf_loc,14,20,24,20,30,55,0.272
5ms,4_nodes_rf_loc,15,26,19,32,26,57,0.292
10ms,4_nodes_rf_loc,30,48,54,53,51,81,0.528
15ms,4_nodes_rf_loc,52,5,53,76,69,77,0.553
20ms,4_nodes_rf_loc,66,21,70,78,45,88,0.613
25ms,4_nodes_rf_loc,27,7,70,79,92,97,0.620
30ms,4_nodes_rf_loc,86,80,91,86,33,77,0.755
35ms,4_nodes_rf_loc,85,80,90,86,31,75,0.910
40ms,4_nodes_rf_loc,15,81,91,89,98,97,0.785
45ms,4_nodes_rf_loc,76,87,91,88,97,98,0.895
50ms,4_nodes_rf_loc,44,98,97,94,95,100,0.880
60ms,4_nodes_rf_loc,81,90,91,90,98,96,0.910
70ms,4_nodes_rf_loc,43,82,89,95,98,95,0.837
80ms,4_nodes_rf_loc,26,89,91,97,99,98,0.833
90ms,4_nodes_rf_loc,37,90,90,97,100,99,0.905
100ms,4_nodes_rf_loc,43,60,95,99,99,98,0.823
120ms,4_nodes_rf_loc,45,70,94,99,99,96,0.927
150ms,4_nodes_rf_loc,18,94,95,100,100,100,0.845
