1ms,mix_nodes,62,45,71,22,11,24,18,23,0.355,0.335
2ms,mix_nodes,74,37,91,32,11,19,4,5,0.352,0.330
3ms,mix_nodes,74,36,80,15,13,18,1,37,0.352,0.333
4ms,mix_nodes,69,44,67,39,14,23,14,29,0.375,0.372
5ms,mix_nodes,71,54,74,44,18,32,16,34,0.438,0.420
10ms,mix_nodes,97,83,100,82,58,49,31,66,0.718,0.698
15ms,mix_nodes,100,95,100,91,77,69,72,81,0.853,0.860
20ms,mix_nodes,99,92,99,91,86,33,25,84,0.775,0.748
25ms,mix_nodes,99,95,99,93,73,91,79,85,0.895,0.890
30ms,mix_nodes,100,94,100,94,78,97,86,92,0.922,0.930
35ms,mix_nodes,100,98,100,97,99,91,52,85,0.970,0.835
40ms,mix_nodes,99,96,100,97,86,98,87,94,0.948,0.945
50ms,mix_nodes,100,97,99,98,79,99,63,93,0.938,0.882
60ms,mix_nodes,100,96,100,98,83,98,91,90,0.943,0.948
80ms,mix_nodes,99,89,99,99,81,97,72,91,0.915,0.902
100ms,mix_nodes,100,94,100,99,63,97,70,91,0.885,0.900
120ms,mix_nodes,100,98,100,99,75,98,94,97,0.927,0.975
160ms,mix_nodes,100,96,100,99,84,94,95,96,0.935,0.975
200ms,mix_nodes,99,82,99,98,79,98,98,96,0.895,0.978
250ms,mix_nodes,99,92,100,99,87,94,96,98,0.930,0.983
300ms,mix_nodes,100,90,99,99,90,92,94,98,0.840,0.975
400ms,mix_nodes,99,89,100,98,90,98,97,99,0.940,0.985
500ms,mix_nodes,100,89,100,99,93,92,96,99,0.935,0.985
600ms,mix_nodes,100,88,100,98,97,88,93,98,0.932,0.973
700ms,mix_nodes,99,91,100,100,96,97,88,97,0.958,0.963
800ms,mix_nodes,100,87,100,96,96,98,86,99,0.953,0.953
900ms,mix_nodes,100,86,99,100,98,96,77,98,0.950,0.935
1000ms,mix_nodes,100,94,100,96,97,93,86,98,0.960,0.950
1500ms,mix_nodes,99,91,99,99,99,97,96,97,0.965,0.978
2000ms,mix_nodes,100,94,100,100,98,99,87,97,0.978,0.960
2500ms,mix_nodes,99,93,100,100,97,94,75,99,0.958,0.935
3000ms,mix_nodes,100,83,100,99,98,96,79,97,0.943,0.938
4000ms,mix_nodes,100,67,100,99,100,84,46,99,0.877,0.860
5000ms,mix_nodes,100,80,99,100,99,79,95,98,0.895,0.980
