1ms,sep_nodes,13,5,95,24,2,90,3,15,0.343,0.275
2ms,sep_nodes,0,0,91,39,19,96,4,8,0.325,0.318
3ms,sep_nodes,4,7,96,23,16,83,0,8,0.325,0.268
4ms,sep_nodes,21,11,82,33,18,94,13,29,0.367,0.385
5ms,sep_nodes,14,7,92,50,28,92,10,37,0.407,0.417
10ms,sep_nodes,69,39,99,76,60,95,49,70,0.708,0.685
15ms,sep_nodes,32,68,99,88,77,100,57,77,0.718,0.777
20ms,sep_nodes,87,17,98,92,77,98,29,84,0.735,0.720
25ms,sep_nodes,59,78,99,95,84,100,81,86,0.828,0.877
30ms,sep_nodes,75,52,99,95,86,99,14,90,0.802,0.723
35ms,sep_nodes,68,14,100,95,90,98,35,87,0.693,0.775
40ms,sep_nodes,81,19,99,97,91,99,82,94,0.740,0.915
50ms,sep_nodes,90,68,99,94,92,98,81,91,0.877,0.905
60ms,sep_nodes,91,86,99,96,91,99,97,96,0.930,0.958
80ms,sep_nodes,97,86,99,97,89,100,64,95,0.948,0.870
100ms,sep_nodes,93,50,99,100,98,100,69,97,0.855,0.910
120ms,sep_nodes,92,75,98,99,94,98,87,100,0.910,0.948
160ms,sep_nodes,90,61,98,100,96,99,76,100,0.873,0.927
200ms,sep_nodes,77,74,100,100,95,99,83,100,0.877,0.943
250ms,sep_nodes,79,99,100,99,96,100,95,99,0.943,0.975
300ms,sep_nodes,86,97,100,99,96,100,90,99,0.955,0.963
400ms,sep_nodes,90,90,98,100,96,99,93,100,0.945,0.970
500ms,sep_nodes,82,78,100,99,98,100,89,100,0.897,0.968
600ms,sep_nodes,89,89,100,99,98,99,84,100,0.943,0.953
800ms,sep_nodes,88,98,100,99,99,99,91,100,0.963,0.973
1000ms,sep_nodes,87,100,99,98,98,100,86,100,0.960,0.960
1500ms,sep_nodes,72,96,99,100,98,99,72,99,0.917,0.920
