5ms,4NB14NB2_MRS,268,128,274,157,125,74,80,71,0.496,0.485
10ms,4NB14NB2_MRS,295,231,299,252,205,159,169,167,0.742,0.739
15ms,4NB14NB2_MRS,300,235,299,259,241,239,185,201,0.846,0.787
20ms,4NB14NB2_MRS,300,278,297,267,249,268,239,211,0.912,0.845
25ms,4NB14NB2_MRS,300,295,299,278,248,226,258,249,0.891,0.903
30ms,4NB14NB2_MRS,300,285,299,278,278,214,261,246,0.897,0.903
35ms,4NB14NB2_MRS,299,267,299,286,272,253,260,255,0.909,0.917
40ms,4NB14NB2_MRS,300,283,300,293,279,243,251,255,0.921,0.916
50ms,4NB14NB2_MRS,300,299,299,293,293,257,227,283,0.958,0.918
60ms,4NB14NB2_MRS,300,282,300,294,278,259,267,279,0.932,0.950
80ms,4NB14NB2_MRS,300,300,300,296,269,255,281,283,0.937,0.967
100ms,4NB14NB2_MRS,300,300,300,300,300,222,296,289,0.935,0.988
150ms,4NB14NB2_MRS,300,297,300,300,290,291,290,270,0.982,0.967
200ms,4NB14NB2_MRS,300,298,300,297,299,289,293,279,0.988,0.974
250ms,4NB14NB2_MRS,300,298,299,300,291,268,290,280,0.964,0.974
300ms,4NB14NB2_MRS,300,293,300,298,289,299,296,283,0.984,0.981
350ms,4NB14NB2_MRS,300,291,299,299,298,291,295,283,0.983,0.980
400ms,4NB14NB2_MRS,200,200,200,198,198,188,194,186,0.655,0.648
450ms,4NB14NB2_MRS,300,289,300,299,298,284,296,282,0.976,0.981
500ms,4NB14NB2_MRS,300,287,300,297,299,285,292,272,0.976,0.968
