5 ms,mixpoi,68,58,50,84,29,49,16,39,0.51,0.475
10 ms,mixpoi,86,83,79,100,61,74,51,72,0.76,0.75
15 ms,mixpoi,90,88,84,99,69,82,71,82,0.82,0.84
20 ms,mixpoi,92,88,92,100,76,85,67,79,0.85,0.845
25 ms,mixpoi,93,90,89,99,81,90,78,84,0.88,0.876
30 ms,mixpoi,94,92,93,99,86,86,83,89,0.896,0.91
40 ms,mixpoi,98,98,96,99,85,92,89,90,0.93,0.94
50 ms,mixpoi,96,96,96,100,91,93,89,92,0.94,0.943
60 ms,mixpoi,96,95,98,100,92,95,89,96,0.944,0.956
80 ms,mixpoi,97,97,97,100,95,94,91,95,0.956,0.96
100 ms,mixpoi,98,98,100,100,94,95,95,96,0.96,0.975
120 ms,mixpoi,98,97,98,100,96,97,95,97,0.97,0.973
160 ms,mixpoi,99,99,98,100,93,98,96,96,0.974,0.974
200 ms,mixpoi,97,98,97,100,97,96,98,97,0.97,0.98
250 ms,mixpoi,98,98,98,100,96,97,96,97,0.973,0.975
300 ms,mixpoi,98,98,100,100,98,98,96,97,0.98,0.982
350ms,mixpoi,98,99,99,100,98,98,98,98,0.98,0.986
400ms,mixpoi,98,99,100,100,98,98,95,97,0.9925,0.97
600ms,mixpoi,97,99,100,99,99,98,99,98,0.9875,0.985
800ms,mixpoi,99,99,100,99,97,98,95,99,0.9925,0.9725
1000ms,mixpoi,97,99,100,99,99,99,99,100,0.9875,0.9925
2000ms,mixpoi,99,99,100,100,99,99,100,99,0.995,0.9925
