5ms,seppoi,53,44,33,83,40,89,21,44,0.53,0.48
10ms,seppoi,72,66,50,96,59,98,44,70,0.71,0.67
15ms,seppoi,77,75,65,98,68,99,54,78,0.7875,0.7475
20ms,seppoi,82,83,79,99,77,100,63,85,0.85,0.81
25ms,seppoi,87,85,81,99,81,100,69,87,0.88,0.84
30ms,seppoi,90,87,86,100,87,100,78,91,0.9,0.89
40ms,seppoi,90,90,86,100,89,100,80,92,0.91,0.9
50ms,seppoi,93,93,92,100,95,99,84,97,0.94,0.94
60ms,seppoi,94,95,89,100,91,100,89,97,0.944,0.943
80ms,seppoi,95,95,94,100,95,100,92,98,0.96,0.96
100ms,seppoi,97,96,95,100,95,100,93,98,0.97,0.965
120ms,seppoi,98,96,95,100,94,100,93,98,0.97,0.96
160ms,seppoi,97,97,96,100,98,100,92,98,0.97,0.97
200ms,seppoi,98,98,97,100,96,100,94,97,0.98,0.97
250ms,seppoi,96,97,96,100,98,100,97,99,0.97,0.985
300ms,seppoi,98,99,98,100,97,100,96,99,0.985,0.98
350ms,seppoi,99,99,98,100,97,100,97,98,0.99,0.98
400ms,seppoi,99,99,100,100,99,100,99,100,0.995,0.995
